Species,Flowering,Fruit ripening,Seed dispersal,pdf table number,genus name,Color of ripe fruit,Height of mature trees (m),Year first cultivated,Location,Color of ripe fruits,Fruit drop,Location  altitude,Location  elevation,Height at maturity (m),Growth habit  maximum height,Flower color,Flowering habit,Dispersal,Cone ripening,Seed ripening  dispersal,Origin,Color of ripe fruit,Seed size (mm),Diam of ripe fruit (mm),Cleaned  (kg),seeds wt  (lb),Fruit  seed ripening,Location  elevation (m),Tree ht (m),Age (yrs),Interval (yrs)
E. umbellata,May-June,Aug-Oct,Sep-Nov,2,Elaeagnus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,08-Jun,NA,NA,NA,NA,NA,NA,NA,NA
A. arbutifolia,Mar-Apr,Oct-Nov,NA,2,Aronia,NA,NA,NA,Texas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mar-May,Sept-Oct,NA,2,Aronia,NA,NA,NA,West Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Apr-July,Sept-Nov,NA,2,Aronia,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. melanocarpa,Mar-June,Aug,NA,2,Aronia,NA,NA,NA,South,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Apr-July,Aug-Oct,NA,2,Aronia,NA,NA,NA,North,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,June,Sept-Oct,NA,2,Aronia,NA,NA,NA,West Virginia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. X prunifolia,Apr-July,Aug-Oct,NA,2,Aronia,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morella californica,May-June,Sept,NA,2,Morella,Brownish purple with grayish white wax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"48,000","22,000",NA,NA,NA,NA,NA
Morella cerifera,Mar-June,Aug-Oct,NA,2,Morella,Light green with pale blue wax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"185,000","84,000",NA,NA,NA,NA,NA
Morella faya,Variable,Aug-Nov,NA,2,Morella,Red to purple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,,NA,NA,NA,NA,NA
Myrica pensylvanica,Apr-July,Sept-Oct,NA,2,Morella,Covered with grayish white wax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"121,000","55,000",NA,NA,NA,NA,NA
Myrica gale,Mar-Apr,Oct,NA,2,Morella,Lustrous & dotted with resin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,,NA,NA,NA,NA,NA
T. baccata,Mar-May,NA,Aug-Oct,2,Taxus,NA,NA,NA,W Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Oct,NA,NA,NA,NA
T. brevifolia,Mar-May,NA,July-Oct,2,Taxus,NA,NA,NA,Washington & Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,July-Oct,NA,NA,NA,NA
T. canadensis,Apr,NA,Aug-Sept,2,Taxus,NA,NA,NA,Minnesota & Wisconsin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Sept,NA,NA,NA,NA
T. cuspidata,Apr-June,NA,Oct,2,Taxus,NA,NA,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sept-Oct,NA,NA,NA,NA
T. floridana,Jan-Mar,NA,Aug-Oct,2,Taxus,NA,NA,NA,NW Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Oct,NA,NA,NA,NA
P. macrocarpa,February-mid-Apr,NA,Late Aug-late Oct,2,Pseudotsuga,NA,NA,NA,S California,NA,NA,NA,NA,NA,NA,NA,NA,NA,Early Aug-early Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. menziesii var. glauca,Mid-Apr-early May,NA,,2,Pseudotsuga,NA,NA,NA,"Central Colorado (elev. 2,060-2,880 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Late May-early June,NA,Late Aug-mid-Sept*,2,Pseudotsuga,NA,NA,NA,"Montana (elev. 700-1,700 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,Late July-early Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Early May-late June,NA,Early Sept*,2,Pseudotsuga,NA,NA,NA,"Northern Idaho (elev. 820-1,000 m)",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mid-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mid-May-mid-June,NA,Mid-Aug-mid-Sept*,2,Pseudotsuga,NA,NA,NA,Central Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P. menziesii var. menziesii,Late Mar-mid-May,NA,Sept-late Mar,2,Pseudotsuga,NA,NA,NA,Coastal British Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Mid-Mar-early Junet,NA,Late Aug-late Mart,2,Pseudotsuga,NA,NA,NA,W-central Oregon & W Washington,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Early Apr-early May,NA,Mid-Aug*,2,Pseudotsuga,NA,NA,NA,S Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,NA,Sept-early winter,2,Pseudotsuga,NA,NA,NA,N California,NA,NA,NA,NA,NA,NA,NA,NA,NA,August,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. californica,May-July,July-Sept,Aug-Sept,3,Amorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. canescens,June-late July,Aug-Sept,Sept-Oct,3,Amorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. fruticosa,May-June,Aug,Sept-Oct,3,Amorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. nana,May-July,July,July,3,Amorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. acutifolius,May-June,Sept-Oct,Sept-winter,2,Cotoneaster,NA,NA,NA,N Great Plains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. apiculatus,May-June,Aug-Sept,Fall-winter,2,Cotoneaster,NA,NA,NA,S Michigan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. horizontalis,June,Sept-Nov,Sept-winter,2,Cotoneaster,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. integerrimus,May-June,Aug-Sept,,2,Cotoneaster,NA,NA,NA,Great Plains,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. lucidus,May-June,Sept,,2,Cotoneaster,NA,NA,NA,North Dakota,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. niger,May-June,,,2,Cotoneaster,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. grandifolia,March-May,Sept-Nov,Sept-Nov (after frost),2,Fagus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
F. sylvatica*,Apr-May,Sept-Oct,Oct-Nov (after frost),2,Fagus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. glutinosa,Mar-May,Sept,Sept or Oct-early spring,2,Alnus,NA,NA,NA,E US,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,(can start Jan),Feb-April,,2,Alnus,NA,NA,NA,S US & England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. incana,Mar-May,Sept-Nov,Sept-Dec,2,Alnus,NA,NA,NA,Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssp. rugosa,Mar-May,,,2,Alnus,NA,NA,NA,"Canada, US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssp. tenuifolia,Mar-Apr,Aug-Sept,,2,Alnus,NA,NA,NA,"Idaho, Montana, Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. nepalensis,,Oct-Feb,Oct-Apr,2,Alnus,NA,NA,NA,Hawaii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. rhombifolia,Mar,Late Sept-early Oct,,2,Alnus,NA,NA,NA,Oregon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. rubra,Late winter-,Aug-Oct,Sept-Dec,2,Alnus,NA,NA,NA,"Washington, Oregon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,early spring,,,2,Alnus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. serrulata,Feb-May,Late Sept-early Oct,,2,Alnus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. viridis ssp. crispa,Spring,Late Aug-mid-Oct,Soon after ripening,2,Alnus,NA,NA,NA,"E US, Alaska",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,Apr-June,Mid Sept-early Oct,Sept-early spring,2,Alnus,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ssp. sinuata,Apr-June,Sept-Dec,,2,Alnus,NA,NA,NA,"Alaska, W Canada, & NW US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. alba,Apr-May,Sept-Oct,Sept-Oct,2,Carya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. aquatica,Mar-May,Sept-Nov,Oct-Dec,2,Carya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. cordiformis,Apr-May,Sept-Oct,Sept-Dec,2,Carya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. glabra,Apr-May,Sept-Oct,Sept-Oct,2,Carya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. illinoensis,Mar-May,Sept-Oct,Sept-Oct,2,Carya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. laciniosa,Apr-June,Sept-Nov,Sept-Oct,2,Carya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. myristiciformis,Apr-May,Sept-Oct,Sept-Oct,2,Carya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. ovata,Apr-June,Sept-Oct,Sept-Oct,2,Carya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. pallida,Mar-Apr,Sept-Oct,Sept-Oct,2,Carya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. alba,May-mid-June,Mid-Sept-mid-Oct,Mid-Sept-mid-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Europe,25-45,25-30,2-3-
A. amabilis,Late Apr-May,Late Aug,Late Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W Washington & Oregon (150-400),35-65,30,06-Mar
,Mid-May-June,Mid-Sept,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vancouver Is., British Columbia (500)",,,
,June,,Mid-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lewis Co., Washington (1,600)",,,
A. balsamea,Mid-late-May,Late Aug-early Sept,Mid-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,20-Oct,20-30,04-Feb
,Late Apr-early June,,Early Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Minnesota,,,
A. bracteata,Late Apr-early May,Late Aug,Mid-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sta. Lucia Mtns, Monterey Co., California",10-35,,05-Mar
A. concolor,May-June,Sept-Oct,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,25-60,40,09-Mar
var. lowiana,Late May,,Late Sept-late Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stanislaus NF, California (2,000)",,,
,Mid-May-early June,NOT_SELECTED -,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fremont NF, Oregon (1,600)",,,
A. firma,Late Apr-mid-May,Mid-late Oct,Late Oct-early Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,30-45,,06-Apr
A. fraseri,Mid-May-early June,Sept-mid-Oct,Sept-early Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roan Mtn, North Carolina",25-Oct,15,3
A. grandis,Mid-June,Aug,Early Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Idaho (750-1,100)",35-65,20,03-Feb
,Mid-April-mid-May,,Late Aug-mid-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W Washington & Oregon (100-400),,,
,Early-mid-June,NOT_SELECTED -,Early Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linn Co., Oregon (1,600)",,,
,Late March-early Apr,NOT_SELECTED -,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mendocino Co., California (65)",,,
A. guatemalensis,,Oct-mid-Dec,Nov-mid-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guatemala, S Mexico, Honduras, & El Salvador",20-30,,03-Feb
A. homolepis,Mid-May-mid-June,Mid-late Sept,Mid-late Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,20-30,,07-May
A. lasiocarpa,Late June,Mid-Sept-early Oct,Late Sept-early Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Francisco Peaks, Coconino Co., Arizona",10-35,50,03-Feb
,Late June-early July,Mid-Aug,Mid-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Northern Idaho (950),10-35,20,04-Feb
,Early-mid-July,Late Aug,Early Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eastern Montana (2,100)",,,
,Late May-early July,,Early Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linn County, Oregon (1,750)",,,
A. magnifica,Late May-early June,Aug,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,30-55,35-45,03-Feb
A. mariesii,Mid-late June,Mid-late Sept,Late Sept-early Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,25-Oct,,07-May
A. nordmanniana,,May,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,40-60,30-40,03-Feb
,,After Oct I,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Russian Georgia,,,
A. pindrow §,Late Apr-mid-May,Sept-early Oct,Oct-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Himalayas,,30-40,04-Feb
A. pinsapo,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Czech Republic & Soslovakia,,50,
A. procera,June,Mid-late Sept,Early Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Benton & Linn Cos., Oregon (1,350-1,550)",45-80,15-Dec,06-Mar
,June-early July,Late Sept,Early Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lewis Co., Washington (1,600)",,,
A sachalinensis,May-June,Sept-Oct,Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hokkaido, Japan",,,04-Feb
A. X shastensis,Mid-late June,Late Sept,Late Sept-mid-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SW Oregon (1,850-2,000)",30-55,30-40,03-Feb
,,Late Sept,Early-mid-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N. California coast ranges (2,000)",,,
,,,Mid-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Shasta Co., California (1,700-2,000)",,,
A. sibirica,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W Siberia,,,08-Feb
A. veitchii,June,Sept-early Oct,Sept-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Japan,20-25,30,06-May
B. angustifolia,Sept-Oct,Sept-Oct,Oct,2,Baccharis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. pilularis,July-Oct,Sept-Dec,Fall,2,Baccharis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B. salicifolia,May-July,May-July,May-July,2,Baccharis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. canadensis,Mar-May,July-early autumn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magenta-purplish pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. canadensis var. texensis,Mar-Apr,Aug-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magenta pink,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C. orbiculata,Feb-May,July-Sept,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Magenta pink-reddish purple,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
